time,Lambda,rho,beta-0,lambda-0,beta-1,lambda-1,beta-2,lambda-2,beta-3,lambda-3,beta-4,lambda-4,beta-5,lambda-5,n,c-0,c-1,c-2,c-3,c-4,c-5
2.5,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
2.75,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
3,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
3.25,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
3.5,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
3.75,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
4,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
4.25,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
4.5,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
4.75,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
5,0.00094001842496,-2.82682991598e-12,0.000235164830383,0.0133366264132,0.00120079824129,0.0327336917202,0.0011508697109,0.120791293291,0.00257355841641,0.3029030667,0.00106306509886,0.850011216692,0.000445118030721,2.85470288702,1,18.7581506841,39.024620557,10.1357096913,9.03845071369,1.33045085638,0.165873842978
